,cleaned_tweets,binarized
14,"Twitter bans  Trump tweet: ""All of the recent  Biden claimed states will be legally challenged."" ('Hello, Rudy? Do I have a case? Why not? What law school did you go to? I've been ROBBED! Yeah. So I do have a Small Claims case for the cost of Bronzer during the campaign? Great!')",0
15,"TonyAtamanuik  NBCNews  ABC  CBSNews  FoxNews  JoeBiden UNSCIENTIFIC BUT-Add DeJoy ballots delayed/lost (zip codes targeted by Blue affinity) to disproportionate COVID deaths for POC (statistically prone to vote Blue), total could be 300k &lt;&gt; 500k more votes for Blue/Biden.  Trump White House Crimes  TrumpIsLosing  Election2020results",0
16,Trump,1
17,"Take note gullible fools  GOP  MAGA  Trump lovers!

 GOPBetrayedAmerica  TrumpMeltdown",1
18,On air soon w  TalkRoberto on  BBC3CR to discuss latest in  USElection2020 ---  Biden heavy favorite to win but will  Trump recognize outcome?,0
19,I just started crying at   Trump's indifference about the children AMERICA has orphaned.,0
20,"10/17/2020
Donald Trump Has Done Several Rallies After Testing Positive For Corona Virus! Donald Trump Has Continued His Campaigning Even At The Words Against It From Staff Members! He’s Just Trying To Get Everyone Infected!
 DonaldTrump
 CoronaVirus",1
21,"Trump: His plan is craaaaaaaaazy. He wants to build buildings with little tiny windows. LITTLE TINY WINDOWS.

 Biden is laughing so hard he's having to lean on the podium. Says ""I don't know where this guy comes from"" when given the chance to respond.

 Debates2020",0
22,"USElectionsWithMC | What happens if  realDonaldTrump loses the US Election? 🧐 Check details 📸:  

 DonaldTrump  USElections  USElections2020  Elections2020",1
23,"Gotta keep  BabyTrump from crying!
 trump  trumpfail  trumplies  trumpLOST",1
24,GOP  High_Impact_67 No way. The GOP is as corrupt as  Trump.,0
25,""" POTUS News:  Trump abruptly ends '60 Minutes' interview, taunts CBS' Lesley Stahl  News"":",1
26,"realDonaldTrump Voter apathy allowed   Trump to come to power.  Americans LEARN from their mistakes!

1 day into  EarlyVoting, the turnout in SW  Florida is astounding! I'm working the polls the next 13 days &amp; loving the energy in the air! 

We're gonna  BringItHome for  Biden in  Florida !",0
27,"📈 🇺🇸
 Elections2020  elections  JoeBiden  PresidentElectJoe  bidenharis2020  KamalaHarris  PresidentBiden2020  Harris  Biden  President  TrumpTantrum  TrumpOut  trump  ByeByeTrump",0
28,NorthCarolina  ncpol  Trump,1
29,"Truth, well enumerated ...long road ahead to reform &amp; restore  America.

 AmericaDecides, not  Trump",0
30,"THE INDIANAPOLIS STAR 
   r2p  IndianapolisStar  Indianapolis  UE  USA  Obama  Biden  Trump  Harris  Pence  Coronavirus  Covid  Indians  Colts  Pacers  BLM  GeorgesFloyd  BreonnaTaylor  RuthBaderGinsburg  RBG  DanielPrude  JacobBlake  AmyConeyBarrett",0
31,"6 hours and counting, no new  Trump tweets? Maybe he got banned.",0
32,"TrumpWarRoom Abot time that the Delusional Americans that think that Trump is the Savior, wake up and see him as he is... Trump  KAG  MAGA  VoteHimOut2020  VoteBidenHarrisToSaveAmerica
 TrumpIsNotAmerica
 BidenCares",0
33,"charliekirk11 I mean, if you're  Hunter  Biden and you're making gazillions of dollars off your father's  WhiteHouse office, are you REEEEEAAALLLY gonna take your  laptop to some Geek Squad outfit for repairs?

This ""  scandal "" has never even passed the smell test!
 FakeNews  Biden2020  Trump",1
34,It is sad and pathetic that a  POTUS would have to resort to conspiracy theories about the SON of the man running against him because he cant escape his own failures and ineptitude. All u  MAGA  KAG and  Trump supporters? Its not too late to end it now.  BidenHarris2020,0
35,"OnlyWhiteTiger  dad_darius  Isellmpls Saturday Betrayer that is  DopeyDon:

-Russia has direct pipeline to WH
-113 Days silent on  Bountygate
-Money Laundering link from Russian/ Ukraine Oligarchs to  Trump
-Guiliani/Russian Disinformation 
- COVID19 220K+Dead 8M+Infected

 UNMAGA
 HumptyTrumpty
 ComradeTrump",0
36,"You got to check these pictures out  Trump  MAGA Told Wear  Masks  Sanitizer  COVID19 no  leadership 
 Halloween 2020: Trumps host socially distant trick-or-treating   via  usatoday",1
37,ddale8 Vile Slime that  tRump,1
38,"Trump in  MI  
 UnacceptableBehavior
  Threats and  Incitement vs the MI Governor.
 Trump must Go!      He is dangerous.     Enough!",0
39,"Federal  judge strikes down  Trump rule that could have cut  foodstamps for nearly 700,000 unemployed  Americans.
 Elections2020
 AmericasGreatestMistake",0
40,"100,000s of families, when talking in terms of friends, millions of friends (when you assume on avg the dead have multiple friends), have faced not being able to say goodbye to their loved ones dying/dead from  covid19 due to  Trump’s PURPOSEFUL INACTION TO PROTECT AMERICANS!",0
41,"DemocracyIsDead when regular working  Democrat men &amp; women remain silent. At very least they should support presemce of observers &amp; investigation.  USElectionResults
 ElectionResults2020  Trump  AmericasGreatestMistake",0
42,"RadioFreeTom  jentaub “To [ Trump], a lie is not a lie, it’s just what he thinks. He doesn’t know the difference between the truth and a lie.”—Dan Coats, quoted in Bob Woodward’s new book, “Rage.”",0
43,"DonaldJTrumpJr The only corruption that exists is in the  Trump administration &amp;ur family.  TrumpCrimeFamily 

This may surprise u, but it's not the function of a debate 2 push Russian talking points put together by Rudy &amp; Bannon. But I can understand that u probably need that  Putin cash flow",0
44,"shannonrwatts  TreeOfLife 
 NoSafeSpaceForJewHate 

In their honour,  Trump made peace between Israel &amp; 
 Bahrain  Sudan  UAE 

 ObamaBiden sent $1.7 billion cash to support jihadi terrorists  Ayatollah 
 Hezbollah 

Main St USA says NO to
 QuidProJoe 
 FakeKamala 
 BDSBernie 
 VoteThemOut",1
45,"Trump always project his crimes into others
 realDonaldTrump is the grifter , criminal 
 VoteHimOut",0
46,"thegoodgodabove Another Lie from Liar Trump: Votes must all be counted by  November 3 (Election Day).

Here's an excellent link you can Share and Retweet with idiot  Trump supporters or anyone who thinks this nonsense is true.",0
47,"📰 Ultime news - Parole chiave

Coronavirus  Coronavirus
Covid19  Covid19
Trump  Trump
IPhone  IPhone
Cases  Cases
iPhone 12  iPhone12
COVID19  COVID19
2020  2020
Australia  Australia
Daily  Daily

 NewsByGatfil",1
48,"Hunter Biden’s associates referred to Joe Biden as a “cash machine” because of the ease of making fortunes through his name and influence.
 Trump  maga  gop  potus  dems
 seanhannity  tuckercarlsontonight  ingrahamangle  realDonaldTrump  Trump2020  wattersworld",1
49,". MeghanMcCain has some thoughts about  electionnight.

 meghanmccain  Trump  DonaldTrump  PresidentTrump  election  vote  election2020  politics",1
50,"realDonaldTrump Nothing was stolen.  Trump told his supporters not to vote by mail, so they didn't.  States decided to count mail-in votes separately from ""day of"" votes. The results speak for themselves!

But bring on the recounts! Nothing would rub it in  Trump's face worse than to lose TWICE!",0
51,"Frosst_Emblem  Trump lies 24/7;  CongressionalTrumplicans lie 24/7. Why is it hard to believe that  TrumpSupporters would NOT lie 24/7, like the people they vote for do?",0
52,"Claymoresmash  GeorgeTakei Yes, yes, the emails. That darned private account. 

Jared has one. 

Ivanka has THREE. 

They are discovering MANY  Trump staff are using private email accounts, against the directives of their own administration and of  DOJ.",0
53,"Trump can't stop complaining about how unfair the debate was, because Chris Wallace wouldn't let him do whatever he wanted.",1
54,⁦ NIH⁩ chief:  Trump has not met with White House  COVID19 task force in 'quite some time',0
55,Bangor man arrested after brandishing  weapons at  Trump event with  SD  governor - Oct 28   1:57 PM ET,0
56,"[Eric Bradner, CNN] Biden says Trump can win because of 'how he plays'  CBS  CBS  JoeBiden  DonaldTrump",0
57,Maybe this is the reason why I would like a President  Meacham besides his calm demeanor??? Jon Meacham: Isn't it worth a couple of days to learn who's president? -    trump  Biden  Election2020,0
58,"As congratulations from world leaders for  Biden poured in Saturday,  Bolsonaro's silence spoke volumes.

 JoeBiden  Trump  USElectionResults2020",0
59,Trump uses Midwestern swing to launch false attacks on doctors while Covid cases rise - Oct 31   12:40 AM ET,0
60,"DonaldJTrumpJr 🚨  Trump  Campaign2020 is SINKING like an OLD STRIPPER..

Everything  Trump Touches Dies 
aka   ETTD 

NOTE:  this is  *NOT*  a  joke. 

See for EXAMPLE: 
 USA   Government   Budget   DEFICIT.

 USA   Government   Debt  is SOARING!",1
61,"CBSNews It's Common Knowledge™  BabyGate  BunkerBoy- n-bitch  maga  kag  covFeFe-19  CaptainContagious  DonaldTrump 's California  GOP  Republican  Republicans tried &amp; or commited VOTER FRAUD &amp; voter suppression .. what's next?   LockThemUp ..

 Vote2020 for 🇺🇸  BidenHarris2020 🇺🇸",0
62,"NOT “Rounding the Bend on  COVID19”

Claim is simply not true say ALL mainstream  MedicalProfessionals.  JoeBiden has  Plan.

Want less  Violence?  JoeBiden is ONLY candidate willing to work w parties &amp; fight  SystemicRacism.
 Trump doesn’t believe in it.

 McKeesRocks  Dormont",0
63,"Public_Citizen So  JaredKushner thinks black ppl don't want success?

Thinking people KNOW  Trump can't *want* success in this race (since his tone-deaf  racist son-in-law's his spokesman!) and he's not *trying* hard enuf (since  MarkMeadows got to say they've not tried to control  pandemic)!",0
64,"Does he really need any job?  
Both networks  Newsmax  OAN..have..same problem
They have tiny audiences..a barnacle on..great white whale that is  FoxNews
Which is where  Trump comes in. This could be Donald Trump's next job (IF) WHEN!!! HE LOSES IN NOV",0
65,"215,000 dead Americans and counting...  trumpvirus  trump  gop  maga  election2020  voteblue2020  rememberinnovember  TrumpDeathToll215K  TrumpHasCovid

It didn’t have to be this way. Thanks for nothing, Republicans.

VOTE BLUE.",0
66,"YES it's done! 
The world biggest  Loser ever,  Trump",0
67,"That is if  BidenHarris2020ToRestoreHonorAndDecency takes place and there is a future.  VoteHimOut  VoteHimOut2020  VoteHimOutandLockHimUp for the unnecessary  COVID19 deaths  220KdeadAmericans deserve justice!  LawAndOrder for real, not just words.  Trump is directly responsible",0
68,Donnachka206  edokeefe What we need to do is ask  tRump if he disavows white supremacy.,0
69,"Trump policy separates immigrant  children from  parents. Govt can't find parents of 545 children.

 TeamJustice  GlennKirschner  KamalaHarris  JoeBiden  Joe2020  BidenForPresident  realDonaldTrump",0
70,HALLELUJAH! PRAISE THE LORD!!  FLORIDA GOES  TRUMP!!,1
71,Biden leads Trump by 8 pts nationally  Biden  Trump,0
72,HKrassenstein I don't even want to see the SIZE of any *big boy pants* that would fit  Trump...  ElectionResults2020,0
73,funkykarma  XfireHuricane  TheCole73  BreaultCrow  Blake_RESISTS  Kelleyrose20  tomruss68018646  lawgiver42  BlackWidow_WF  Olyrancher  kd6784  steelerfan1111  wonka_monka  HSlaughter1979  Gtbana  AzizianRahim  Qwarktastic2  William15199186 All.  Trump,1
74,"Fear in ppl’s minds re whether their vote will be counted, created by Republn led law suits &amp;  Trump’s deliberate fear mongerg.Forcing elderly to attend personally, in Covid environmt is unconscionable.More Dems said to be voting early. Electn Day voting tends to be v Repubn! USA",0
75,"Toneman807 Think the media will ignore Richard Hopkins, The United States postal worker who is the whistleblower coming out to testify how workers were told to backdate post marks on election ballots??? . VoterFraud  Trump  Evidence",1
76,"President Donald Trump’s Schedule for Tuesday, October 20, 2020: 
President Donald Trump will participate in a town hall at the White House then the first lady and he will travel to Erie, Pennsylvania, to hold a    donaldtrump  thepresidentsschedule",1
77,I hope so.  Our future depends on  Trump being soundly defeated,0
78,"How to stay on top of Tuesday's decision between Joe  Biden and Donald  Trump? 

The 5 states for outcomes from a surprise Trump victory to a Biden landslide. 

 USElection2020",0
79,"USElectionOnWION | President of the United States,  DonaldTrump recently claimed that the state of Pennsylvania could be marred by “cheating” in voting, which could trigger violence in the state

 ElectionDay  Elections2020  USElection2020",1
80,"Trump says  COVID19 effects “Virtually Nobody” when states  OpenUp

Who’re these nobodies?
- Mostly refers to  Seniors/ OldPeople &amp; ppl w  Disabilities
-  SupremeCourt  Nominee won’t say if she believes  ACA  Medicare  Medicaid are  Constitutional
-  Vote   him out  Colorado",1
81,"realDonaldTrump Thoughts and prayers to  MikePence’s staff as they battle the  coronavirus. And to all those who choose to attend  Trump rallies, I wish you blessings &amp; hope you stay healthy.  Covid is no joke &amp; no  hoax",1
82,"Asking  DonaldTrump and all  Republicans to answer this.

 Trump  said after election day all of the  COVID19 cases would just disappear.

What's going on?",0
83,"To add

I doubt that confidential briefing was about what  SenSchumer said to  maddow (above)

 Fact that ILLEGITIMATE  Trump is running for reelection has ELIMINATED tiny signs of confidence

The FBI &amp;  Democrats know it

So, what was the briefing about?

 2020Elections  Resist",0
84,"Let me go ahead and say this. As an Independent, I absolutely despise  trump, that being said I might actually despise  AOC even more",0
85,ItPainsMeToSay  DonaldTrump the  COVIDIOT  survived his brush with  coronavirus  COVID and remains in office until he loses next week in a  BlueTsunami.  WednesdayWisdom  WednesdayThoughts,0
86,"realDonaldTrump  NBCNews I agree with this article..

No doubt,  donaldtrump is the worst president in American history...at least modern history.

 TrumpIsANationalDisgrace 
 TrumpUsARacist
 TrumpIsAPos",1
87,"y'all need a  waaambulance? for that BURN 🔥 BlameTrump  TrumpTownHall  BidenWonTheDebate  BidenTownHall  TrumpCrimeFamily  MAGA  TrumpLiesAmericansDie
 realDonaldTrump  GOPLeader  GOPChairwoman  SenateGOP  senatemajldr  Trump  VP  FLOTUS  DonaldJTrumpJr  EricTrump  IvankaTrump",0
88,Federal Judge Rejects Bid to Toss Texas Drive-Through Votes  Elections2020  Election2020  Trump  Biden,0
89,"ErinMPerrine  USPoli 
 Trump 
 TrumpIsANationalDisgrace 
 TrumpIsUnwell  TrumpIsLosing 
 TrumpIsALoser 
 TrumpIsPathetic 
 EnoughIsEnough",1
90,"It's obvious that Justice Kennedy made a deal with  Trump - as in - I'll retire, give up my  SCOTUS seat, so that my son who worked for  DeutscheBank and loaned you all that money you can't repay, isn't in trouble

But once  Donald got  Kavanaugh sworn in, he reneged on something",0
91,"Ronald  Reagan would yell: ""Tear down that  fence,""  realDonaldTrump.

 BunkerBoy  DonaldTrump is so sure he'll lose  2020Election,  Trump wastes  TP_money on an extra fence!

""Federal authorities expected to erect 'non-scalable' fence around  WhiteHouse.""",1
92,They seem to know when its over. They know that now they will need to deal with  Biden...what better way can you have to get Along with a probable  Biden Admin than to denounce  Trump now.,0
93,"Rosie_wearamask  NY_runaway Saturday Betrayer that is  DopeyDon:

-Russia has direct pipeline to WH
-113 Days silent on  Bountygate
-Money Laundering link from Russian/ Ukraine Oligarchs to  Trump
-Guiliani/Russian Disinformation 
- COVID19 220K+Dead 8M+Infected

 UNMAGA
 HumptyTrumpty
 ComradeTrump",0
94,"What an ignorant and confused fool.  trump is a fraud and phony. He deserves respect when he starts respecting the American people. He has nothing to offer and is only interested in enriching himself/family. Get you head out of the sand, trump is a fraud and a failure.",0
95,Trump is determined to rape our country for $$$$ every chance he gets. He is a danger to our planet and must be stopped.  SaveOurPlanet  VoteBiden,0
96,"America trusts Fauci - you are killing people
 realDonaldTrump  DonTheCon  BlameTrump  TrumpCrimeFamily  MAGA  TrumpLiesAmericansDie  TrumpIsPathetic  GOPLeader  GOPChairwoman  GOP   HouseGOP  SenateGOP   Trump  VP  FLOTUS  DonaldJTrumpJr  EricTrump  IvankaTrump",0
97,NBCNews  NBCNewsNow Sorry  chucktodd and  NBCNews I have  Trump down by 36 as of April of 2019. Would you update this score ticker for me? Thanks. ~Lumpy and your friend at Fresh Bullshit☕️ served_daily,1
98,""" Republican  LindseyGraham wins reelection to the U.S.  Senate from  SouthCarolina, defeating well-financed Democratic challenger  JaimeHarrison.  APracecall  Election2020""~The Associated Press ( AP): I'm sorry to see  DonaldTrump's  closetqueen stooge win re-election...",0
99,"Trump  IvankaTrump  TrumpCrimeFamilyForPrison

TikTok dancer who Ivanka Trump retweeted says she meant to mock Trump",0
100,"Anybody wanna put money that  Trump will tweet that he won the election, without knowing results, minutes after the polls close ?  CountEveryVote  VoterSuppression  VoteLikeYourLifeDependsOnIt  VoteBiden  Election2020  polls",0
101,"realDonaldTrump I agree with this article..

No doubt,  donaldtrump is the worst president in American history...at least modern history.

 TrumpIsANationalDisgrace 
 TrumpUsARacist
 TrumpIsAPos",0
102,"realDonaldTrump was planning on doing this all along, trying to stop the counting of every vote!  Trump is a narcissist, very stupid person, that just wants to divide our country even more! Trump is a very dangerous person that is trying to create violence in our country!",0
103,"FascistTrump 
Does NOT like the truth!

Lies to  America daily&amp;several times!!! 

 Trump is afraid, desperate &amp; owes over $400,000+++ Million to
 SaudiArabia 
 Putin /  Russia
 Banks
 PrivateInvestors 
 ForeignInvestors 

You stand up&amp;fight Google!!!

 Google 

 DumpTrump2020",0
104,tRump  RoevWade  abortion  familyplanning,1
105,"TrumpCollapse  Trump dangerous time for America, dangerous talk from Trump...",0
106,MAGA  POTUS  TRUMP,1
107,"Coronavirus update: Trump threatens to fire top infectious-disease expert Fauci as U.S. deaths top 231,000  Political  POTUS  Trump",1
108,"Coronavirus ---  Trump Says  Fauci is ""Disaster"", Scientists Are ""Idiots""

  

 USElection2020",1
109,"President  realDonaldTrump:

“With your help, your devotion, and your drive, we are going to keep on working, we are going to keep on fighting, and we are going to keep ON WINNING!

We are ONE movement, ONE people, ONE family, and ONE GLORIOUS NATION UNDER GOD!”

 MAGA
 Trump",1
110,"It it helps anyone but  45,  Trump hated signing it.",0
111,"Trump reportedly 'plans to declare victory before election is called' 

NO QUESTION THIS IDIOT IS A WANNA BE DICTATOR 😡😡",0
112,debates Apparently  trump’s NOT a politician. What is he then? A dictator? Flimflam man?  DebateTonight  Debate2020,0
113,What Will TV and  SocialControlNetworks Do if  Trump Prematurely Declares Victory?    He did.,0
114,BillResitance  Strandjunker Very well said.   Trump is a real national security risk.👍,0
115,"politico All for show last night.. a ‘FREE campaign ad for  Trump’ paid for by the taxpayers, once again.

 VoteTrumpOUT2020",0
116,"Trump WHEN PIGS FLY.

Open SmartNews and read Donald Trump says he may change personality if he wins: “Being politically correct takes time” here:   
To read it on the web, tap here:",1
117,"realDonaldTrump YA'LL ARE GOING TO REGRET LOSING YOUR LOVED ONES FOR THIS CLOWN.

 TRUMP COULD CARE LESS ABOUT YOU,  MAGA  MAGA2020  KAG  KAG2020.",1
118,"trump looks back to 2016 w/glory--he loved that win and talks a lot about it. Everyone behind him has ""Latinos"" for Trump signs--my research shows that Latino/Hispanic joblessness is highest.",1
119,"She’s triggered by  Trump flags lamenting how much it’s making her shake...yet has the audacity to ask “what is wrong with people?” Lady, WTH is wrong with YOU?!",1
120,💙President Biden has a PLAN!💙 realDonaldTrump  TrumpOut  Trump  ByeByeTrump  ByeDon  BidenHarris2020  Biden  PresidentElectJoe  Pressconference  VicePresidentElectHarris  Covid_19  ElectionResults2020  EleccionesUSA2020  HowToDealWithLosing  SmellyFoxNewsFart  SundayThoughts,0
121,"Omaha  Trump Rally Attendees Stranded, Several Taken to Hospital Suffering Hypothermia",0
122,"JOBS  TRUMP
Joe Biden: I Can Send Everyone To Community College With A Minimum 15%  Tax On Corporations",0
123,aravosis  MSNBC cut  Trump off after his first lying sentence.,0
124,BarackObama  shangrilagirl  realDonaldTrump’s intention to kill off the  AffordableCareAct tells the world that  Trump and  GOP only care about rich Americans who make them even richer through health care insurance but don’t give a damn about ordinary and poor US citizens.  TrumpCollapse  TrumpIsLosing,0
125,"Big Tech Draws Record Revenue, Harsh Criticism With Election Ads  tech  Elections2020  Election2020  Biden  Trump",0
126,realDonaldTrump  trump and his rallies are  covid slaughterhouses and   kayleighmcenany  is the chief butcher...  COVID19  donaldtrump  gop,0
127,How fucked up that instead of showing compilation of accomplishments (cuz there aren't any other than for his own family &amp;  GOP Oligarchy) or show his PLAN for next 4 years  Trump shows a video of  Biden at his rallies. PATHETIC  Pennsylvania  Michigan  Georgia  Michigan  Iowa,0
128,"I will report to  Jack   TwitterSafety
any clips or comments supporting the outrageous propaganda, lies, false statements &amp; allegations by  Trump at his news conference today. He slandered good hardworking people...putting them in danger.
 EnoughIsEnough 
 DontShareTrumpLies",0
129,Get this m- more people have voted ALREADY in the US election than even totally voted last time around   Trump (predicting Biden 335 Trump 203)  BidenWillWin   auspol,0
130,"BREAKING| Tupac and Biggie congratulate Biden on his Miracle victory.

They said they were glad their votes had contributed to his amazing win.

 Trump  Biden   CountEveryLegalVote  RiggedElection  StopTheSteal  VoterFraud  MAGA  MAGA2020  ElectionFraud  ProtectTheVote",0
131,"My Music Moments: Miles Brown Shares the Soundtrack to His Life - E! Online
 breakingnews  news  china  trump
 brown  entertainment  eonline  life  miles  moments  music  online  shares  soundtrack",0
132,"Yup, everyone in the whole world except the dictators hate  Trump.",0
133,"Breaking 
Huge update comes from  Georgia .
 Trump’s lead in GA drops to 3.5k votes now.
 Biden will overtake him even there.
 Elections2020",0
134,gay_seniors A vote for  Trump is a vote for  Fascism... a vote  for any  Republican is a vote for  Fascism,0
135,"EspeciallyFemale  MomsBackBiden 

 DonaldTrump   He is who he is
Four more days is too much, imagine 4 more f**king years

 Election2020   THE MOST IMPORTANT VOTE WE WILL EVER CAST 

 VoteInNumbersTooMassiveToManipulate 

Send this  Vile  Repulsive  Grifter packing  November3rd",0
136,"trump
I don’t think there’s been a single day that’s gone by that  trump hasn’t said that the  press &amp;  MSM is the  EnemyOfThePeople 

Well,Now he is going to use  MSNBC &amp;  NBC to spread more lies! And do it OPPOSITE ⁦ JoeBiden⁩ time⁉️

 ShameOnMSNBC😞
 NBCBeenBamboozled‼️",0
137,"TheLiberalPOV  RepAdamSchiff  rjjjbrown  realDonaldTrump  Trump does hyperbole more than anyone in the history of the universe.

 Biden doesn't.",0
138,"Trump Will  END His  Presidency as He  Began It 

 

 GeorgeWill: “As the  DonaldTrump parenthesis in the republic’s history closes, he is opening the sluices on his reservoir of invectives &amp; self-pity. A  practitioner of  crybaby  conservatism — no one,..",0
139,"50 Cent endorses Trump for president: 'I don't care he doesn't like black people, I like his tax cuts'.. Trump.. GOP.. 50cent..",1
140,"thehill 15 pts?
Seems low!
🤔

 USPoli 
 Trump 
 TrumpIsANationalDisgrace 
 TrumpIsUnwell  TrumpIsLosing 
 TrumpIsALoser 
 TrumpIsPathetic 
 EnoughIsEnough",0
141,"johnpavlovitz What a piece of work is  trump! 
How ignoble in treason! 
How (severely) limited in faculties! 
In form and moving, how reprehensible! 
In action how like a horse's a_s! 
In apprehension, how like a toddler! 
And yet to us, what is this quintessence of mendacity!?",1
142,"Biden has 6k more votes than  Trump in  Pennsylvannia now.
20 electoral votes in PA.

This means that  Biden doesn’t need the other stats to become President. He has done it.
273 electoral votes for him now.

WE HAVE A NEW PRESIDENT!❤️
UNITED STATES HAVE A NEW PRESIDENT!🇺🇸",0
143,"what the holy hell? You are truly the DEVIL
 WhoOwnsTrump  TrumpCrimeFamily   TrumpLiesAmericansDie  MAGA  TrumpCovid19 
 realDonaldTrump  GOPLeader  GOPChairwoman  SenateGOP  HouseGOP  senatemajldr  Trump   VP  FLOTUS  DonaldJTrumpJr  EricTrump  IvankaTrump",0
144,"I guess  Trump Supreme Court is Asking  Biden To Pack It When He Becomes President. 

Why Not ?

 Trump Already Packed It In The Last Month Before The Election",0
145,"westland_will  Trump represents predominantly white republican  populism that mastered the art of grabbing power with minority of votes. With this they dominate  Senate designed to disproportionately represent tiny rural, remote states, stack up  SupremeCourt and now win the Presidency as well",0
146,"Trump  Biden they have a saying, when America sneezes the rest of the world catches a cold, 4 more yrs of the Trump virus the world doesn’t need or want..",0
147,"PoppyHarlowCNN  KatyTurNBC For  Trump &amp;  GOP a court appointment was more important than the health &amp; welfare of FAMILIES, CAREGIVERS &amp; BUSINESSES. 

They care about nothing else but re-election, money &amp; their agenda.

 GOPBetrayedAmerica 
 TrumpLiesAmericansDie 

VOTE  BidenHarrisToSaveAmerica",0
148,Can anyone tell me if those are real  catholics nuns? With “mags” masks?  Pontifex_es  iamCARITAS  CatholicDems ? In a  Trump rally ?  SenSchumer  Acosta,0
149,What a Trump or Biden Election Win Means For Your Money by  misyrlena  Trump  Biden  Elections2020  Election2020,0
150,"BrandonStraka  FlailingWildly4 Im proud to be a hispanic American, i studied and worked hard to come here legally how it should be, im now a lawyer and im here to do my bit for our country, i respect your values that are actually exactly the same as ours and now im proudly voting  Trump HELP ME TELL THE TRUTH",1
151,"The turn out for Slow Joe Beijing Biden is not showing up BUT the  democrats have prepared lots of fake ballots. They will chant ""count every vote"" just not the  Trump ballots. They will say  Trump is Hitler when militias protect towns with Sheriffs  2ndAmericanRevolutionHasBegun",1
152,"trump can't be trusted to behave like a normal human being at the debate so  debatecommission has to mute his mic

Expect him to pull out by Tuesday.",0
153,"realDonaldTrump Said the Liar in Chief: Biden said it very clear that he WON'T BE AGAINST  FRACKING, Only Trump said that BECAUSE He don't have a plan to save AMERICA of his OWN MISTAKES AND INCOMPETENCE
 Trump  KAG  MAGA  VoteHimOut2020  VoteBidenHarrisToSaveAmerica",1
154,Supreme Court to hear challenges to Trump border wall funding and asylum policies - CNN  Whitehouse  PoliticalViews  Trump,0
